historian,interest,type,period
Federico Zeri,Middle Ages,other,Middle Ages
Federico Zeri,Caravaggio,person,Baroque
Federico Zeri,Gian Lorenzo Bernini,person,Baroque
Federico Zeri,Donatello,person,Mannerism
Federico Zeri,Titian,person,Venetian school
Federico Zeri,Titian,person,High Renaissance
Federico Zeri,Giotto di Bondone,person,Gothic art
Federico Zeri,Carlo Crivelli,person,Gothic art
Federico Zeri,Venetian school,other,Venetian school
Federico Zeri,Paul Cezanne,person,Post-Impressionism
Federico Zeri,Sacred and Profane Love,other,Venetian school
Federico Zeri,Sacred and Profane Love,other,High Renaissance
Federico Zeri,Henri Matisse,person,Impressionism
Federico Zeri,Henri Matisse,person,Post-Impressionism
Federico Zeri,Primavera,other,Renaissance
Federico Zeri,Primavera,other,Renaissance
Federico Zeri,Impressionism,other,Impressionism
Federico Zeri,expressionism,other,expressionism
Federico Zeri,Mannerism,other,Mannerism
Federico Zeri,Sandro Botticelli,person,Renaissance
Federico Zeri,Edvard Munch,person,Symbolism
Federico Zeri,Edvard Munch,person,expressionism
Federico Zeri,mannerism,other,Mannerism
Federico Zeri,16th century,other,16th century
Federico Zeri,17th century,other,17th century
Federico Zeri,15th century,other,15th century
Federico Zeri,Baroque,other,Baroque
Federico Zeri,Renaissance,other,High Renaissance
Federico Zeri,Gothic painting,other,Gothic art
Fritz Heinemann,Accademia Carrara,other,Italian Neoclassical architecture
Fritz Heinemann,existentialism,other,existentialism
Fritz Heinemann,baroque,other,Baroque
Fritz Heinemann,Mannerism,other,Mannerism
Fritz Heinemann,Renaissance,other,High Renaissance
Fritz Heinemann,15th century,other,15th century
Fritz Heinemann,17th century,other,17th century
Fritz Heinemann,16th century,other,16th century
Fritz Heinemann,Palma Vecchio,person,Venetian school
Fritz Heinemann,Giovanni Bellini,person,Renaissance
Fritz Heinemann,Paolo Veronese,person,High Renaissance
Fritz Heinemann,Paolo Veronese,person,Venetian school
Fritz Heinemann,Giovanni Bellini,person,Renaissance
Fritz Heinemann,Titian,person,Venetian school
Fritz Heinemann,Titian,person,High Renaissance
Fritz Heinemann,Francesco Guardi,person,Rococo
Fritz Heinemann,Giovanni Battista Tiepolo,person,Rococo
Fritz Heinemann,Giovanni Battista Tiepolo,person,Baroque
Fritz Heinemann,Paolo Veronese,person,High Renaissance
Fritz Heinemann,Paolo Veronese,person,Venetian school
Fritz Heinemann,Titian,person,Venetian school
Fritz Heinemann,Titian,person,High Renaissance
Fritz Heinemann,Jacopo Bassano,person,Venetian school
Wolfgang Lotz,Mannerism,other,Mannerism
Wolfgang Lotz,Mannerist architecture,other,Mannerist architecture
Wolfgang Lotz,baroque architecture,other,baroque architecture
Wolfgang Lotz,Renaissance architecture,other,Renaissance
Wolfgang Lotz,Christian art,other,Christian art
Wolfgang Lotz,15th century,other,15th century
Wolfgang Lotz,Filippo Brunelleschi,person,Mannerism
Wolfgang Lotz,Leonardo da Vinci,person,High Renaissance
Wolfgang Lotz,Michelangelo,person,High Renaissance
Wolfgang Lotz,Michelangelo,person,Christian art
Wolfgang Lotz,Leon Battista Alberti,person,Italian Renaissance
Wolfgang Lotz,Palazzo Zuccari,other,Renaissance architecture
Wolfgang Lotz,Gian Lorenzo Bernini,person,Baroque
Wolfgang Lotz,Giacomo della Porta,person,Renaissance architecture
Wolfgang Lotz,Giacomo Barozzi da Vignola,person,Mannerism
Wolfgang Lotz,16th century,other,16th century
Wolfgang Lotz,Renaissance,other,Renaissance
Wolfgang Lotz,Baroque,other,Baroque
Wolfgang Lotz,17th century,other,17th century
Kurt Badt,Leon Battista Alberti,person,Italian Renaissance
Kurt Badt,Byzantine art,other,Byzantine art
Kurt Badt,Mannerism,other,Mannerism
Kurt Badt,Middle Ages,other,Middle Ages
Kurt Badt,16th century,other,16th century
Kurt Badt,Baroque,other,Baroque
Kurt Badt,Andrea Solari,person,Renaissance
Kurt Badt,Ernst Barlach,person,expressionism
Kurt Badt,Johannes Vermeer,person,Dutch Golden Age painting
Kurt Badt,Johannes Vermeer,person,Baroque painting
Kurt Badt,Raphael,person,Italian Renaissance
Kurt Badt,Raphael,person,High Renaissance
Kurt Badt,Wilhelm Lehmbruck,person,expressionism
Kurt Badt,Eugene Delacroix,person,Romanticism
Kurt Badt,Paul Cezanne,person,Post-Impressionism
Kurt Badt,Nicolas Poussin,person,classicism
Kurt Badt,John Constable,person,Romanticism
Kurt Badt,Vincent van Gogh,person,Post-Impressionism
Kurt Badt,Vincent van Gogh,person,expressionism
Kurt Badt,Post-Impressionism,other,Post-Impressionism
Kurt Badt,Paolo Veronese,person,High Renaissance
Kurt Badt,Paolo Veronese,person,Venetian school
Kurt Badt,The Art of Painting,other,Dutch Golden Age painting
Kurt Badt,The Art of Painting,other,Baroque
Kurt Badt,Frans Snyders,person,Flemish Baroque painting
Ulrich Middeldorf,Italian Renaissance,other,Italian Renaissance
Ulrich Middeldorf,Christian art,other,Christian art
Ulrich Middeldorf,Raphael,person,Italian Renaissance
Ulrich Middeldorf,Raphael,person,High Renaissance
Ulrich Middeldorf,Christian Daniel Rauch,person,neoclassicism
Ulrich Middeldorf,Edward Hopper,person,neorealism
Ulrich Middeldorf,Edward Hopper,person,American realism
Ulrich Middeldorf,Edward Hopper,person,American scene painting
Ulrich Middeldorf,Basilica of San Francesco d'Assisi,other,Italian Gothic architecture
Ulrich Middeldorf,Modern sculpture,other,Modern sculpture
Ulrich Middeldorf,Gothic sculpture,other,Gothic sculpture
Ulrich Middeldorf,Eskenazi Museum of Art,other,brutalism
Ulrich Middeldorf,Gothic art,other,Gothic art
Ulrich Middeldorf,Franklin C. Watkins,person,Post-Impressionism
Ulrich Middeldorf,Renaissance,other,Renaissance
Ulrich Middeldorf,Sandro Botticelli,person,Renaissance
Ulrich Middeldorf,Benvenuto Cellini,person,Mannerism
Ulrich Middeldorf,Benvenuto Cellini,person,Mannerism
Ulrich Middeldorf,Cosimo Rosselli,person,Quattrocento
Ulrich Middeldorf,Filippo Lippi,person,Renaissance
