historian,interest,type,period,main_period
Federico Zeri,Middle Ages,other,Middle Ages,Middle Ages
Federico Zeri,Caravaggio,person,Baroque,Baroque
Federico Zeri,Gian Lorenzo Bernini,person,Baroque,Baroque
Federico Zeri,Donatello,person,Mannerism,Mannerism
Federico Zeri,Titian,person,Venetian school,Renaissance
Federico Zeri,Titian,person,High Renaissance,Renaissance
Federico Zeri,Giotto di Bondone,person,Gothic art,Gothic art
Federico Zeri,Carlo Crivelli,person,Gothic art,Gothic art
Federico Zeri,Venetian school,other,Venetian school,Renaissance
Federico Zeri,Paul Cezanne,person,Post-Impressionism,Post-Impressionism
Federico Zeri,Sacred and Profane Love,other,Venetian school,Renaissance
Federico Zeri,Sacred and Profane Love,other,High Renaissance,Renaissance
Federico Zeri,Henri Matisse,person,Impressionism,Impressionism
Federico Zeri,Henri Matisse,person,Post-Impressionism,Post-Impressionism
Federico Zeri,Primavera,other,Renaissance,Renaissance
Federico Zeri,Primavera,other,Renaissance,Renaissance
Federico Zeri,Impressionism,other,Impressionism,Impressionism
Federico Zeri,expressionism,other,expressionism,expressionism
Federico Zeri,Mannerism,other,Mannerism,Mannerism
Federico Zeri,Sandro Botticelli,person,Renaissance,Renaissance
Federico Zeri,Edvard Munch,person,Symbolism,Symbolism
Federico Zeri,Edvard Munch,person,expressionism,expressionism
Federico Zeri,Mannerism,other,Mannerism,Mannerism
Federico Zeri,16th century,other,16th century,16th century
Federico Zeri,17th century,other,17th century,17th century
Federico Zeri,15th century,other,15th century,15th century
Federico Zeri,Baroque,other,Baroque,Baroque
Federico Zeri,Renaissance,other,High Renaissance,Renaissance
Federico Zeri,Gothic painting,other,Gothic art,Gothic art
Fritz Heinemann,Accademia Carrara,other,Italian Neoclassical architecture,neoclassicism
Fritz Heinemann,existentialism,other,existentialism,existentialism
Fritz Heinemann,Baroque,other,Baroque,Baroque
Fritz Heinemann,Mannerism,other,Mannerism,Mannerism
Fritz Heinemann,Renaissance,other,High Renaissance,Renaissance
Fritz Heinemann,15th century,other,15th century,15th century
Fritz Heinemann,17th century,other,17th century,17th century
Fritz Heinemann,16th century,other,16th century,16th century
Fritz Heinemann,Palma Vecchio,person,Venetian school,Renaissance
Fritz Heinemann,Giovanni Bellini,person,Renaissance,Renaissance
Fritz Heinemann,Paolo Veronese,person,High Renaissance,Renaissance
Fritz Heinemann,Paolo Veronese,person,Venetian school,Renaissance
Fritz Heinemann,Giovanni Bellini,person,Renaissance,Renaissance
Fritz Heinemann,Titian,person,Venetian school,Renaissance
Fritz Heinemann,Titian,person,High Renaissance,Renaissance
Fritz Heinemann,Francesco Guardi,person,Rococo,Baroque
Fritz Heinemann,Giovanni Battista Tiepolo,person,Rococo,Baroque
Fritz Heinemann,Giovanni Battista Tiepolo,person,Baroque,Baroque
Fritz Heinemann,Paolo Veronese,person,High Renaissance,Renaissance
Fritz Heinemann,Paolo Veronese,person,Venetian school,Renaissance
Fritz Heinemann,Titian,person,Venetian school,Renaissance
Fritz Heinemann,Titian,person,High Renaissance,Renaissance
