historian,period_label,interest,year,publication_title
Werner Cohn,15th century,15th century,1960,Maestri sconosciuti del Quattrocento Fiorentino
Julian Kliemann,15th century,15th century,1993,Gesta dipinte : la grande decorazione nelle dimore italiane dal Quattrocento al Seicento
Ulrich Middeldorf,15th century,15th century,1976,"Sculptures from the Samuel H. Kress Collection : European schools, XIV-XIX Century"
Werner Cohn,15th century,15th century,1958,Notizie storiche intorno ad alcune tavole fiorentine del '300 e '400
Wolfgang Lotz,15th century,15th century,1974,Architecture in Italy 1400-1600
Ulrich Middeldorf,15th century,15th century,1981,"Maestri toscani del Quattrocento : Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo"
Werner Cohn,15th century,15th century,1934,Untersuchungen zur Geschichte des deutschen Einblattholzschnitts im 2. Drittel des 15. Jahrhunderts
Luisa Vertova,15th century,15th century,1981,"Maestri toscani del Quattro e Cinquecento : Finiguerra, Pollaiuolo, Verrocchio, Ghirlandaio, Lorenzo di Credi, Francesco di Simone Ferrucci, Francesco di Giorgio, Leonardo, etc."
Wolfgang Lotz,15th century,15th century,1991,"Arquitectura en Italia, 1400-1600"
Ulrich Middeldorf,15th century,15th century,1975,Biblioteca di disegni: twenty-eight volumes of drawings by italian masters from the XVth to the XVIIIth century (3rd ed.)
