historian,period_label,interest,year,publication_title
Wolfgang Lotz,Mannerism,Giacomo Barozzi da Vignola,1938,Vignola-Zeichnungen
Wolfgang Lotz,Mannerism,Filippo Brunelleschi,1972,"Architecture in Italy, 1400 to 1600"
John Pope-Hennessy,Mannerism,Benvenuto Cellini,1985,Cellini
Julian Kliemann,Mannerism,Mannerism,2004,"Italian frescoes, high Renaissance and mannerism, 1510-1600"
Wolfgang Lotz,Mannerism,Federico Zuccari,1967,Der Palazzo Zuccari in Rom : ein Künstlerhaus des 16. Jahrhunderts als Sitz eines Max-Planck-Instituts
Kornél Fabriczy,Mannerism,Filippo Brunelleschi,1907,Brunelleschiana : Urkunden und Forschungen zur Biographie des Meisters
Wolfgang Lotz,Mannerism,Giacomo Barozzi da Vignola,1973,Mostra di Jacopo Barozzi detto il Vignola
Julian Kliemann,Mannerism,Mannerism,2004,Wandmalerei in Italien : die Zeit der Hochrenaissance und des Manierismus 1510-1600
Wolfgang Lotz,Mannerism,Giacomo Barozzi da Vignola,1939,Vignola-Studien. Beiträge zu einer Vignola-Monographie
John Pope-Hennessy,Mannerism,Paolo Uccello,1950,The complete work of Paolo Uccello
Kornél Fabriczy,Mannerism,Filippo Brunelleschi,1892,Filippo Brunelleschi : Sein Leben und seine Werke
Wolfgang Lotz,Mannerism,Giacomo Barozzi da Vignola,1938,Vignola-Studien
Everett Fahy,Mannerism,Donatello,2011,"Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst ; [anlässlich der Ausstellung ""Gesichter der Renaissance. Meisterwerke Italienischer Portrait-Kunst"", Bode-Museum, Berlin (25.08.2011 - 20.11.2011) ; Metropolitan Museum of Art, New York (19.12.2011 - 18.03.2012)]"
Ulrich Middeldorf,Mannerism,Benvenuto Cellini,1984,A corpus of Italian medals of the renaissance before Cellini
Luisa Vertova,Mannerism,Lorenzo Lotto,1955,Lotto
Stefano Tumidei,Mannerism,Federico Zuccari,2011,Studi sulla pittura in Emilia e in Romagna : da Melozzo a Federico Zuccari : 1987-2008
Richard Krautheimer,Mannerism,Lorenzo Ghiberti,1970,Lorenzo Ghiberti: Volume II
John Pope-Hennessy,Mannerism,Donatello,1993,Donatello : sculptor
Richard Krautheimer,Mannerism,Lorenzo Ghiberti,1971,Ghiberti's bronze doors
John Pope-Hennessy,Mannerism,Mannerism,1969,Sculpture: Renaissance to rococo
John Pope-Hennessy,Mannerism,Paolo Uccello,1969,"Paolo Uccello, complete edition"
Richard Krautheimer,Mannerism,Lorenzo Ghiberti,1956,Lorenzo Ghiberti
