"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q742333","history painting"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q724192","David Bailly"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q724192","David Bailly"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q134194","fresco painting"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q4692","Renaissance"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1048826","Castello Orsini-Odescalchi"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectArtwork","http://www.wikidata.org/entity/Q25048406","Palazzo della Corgna, Castiglione del Lago"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasScopeAndContentSubject","http://www.wikidata.org/entity/Q172984","gelatin silver process"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3889631","Palazzo Belimbau"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q7016","17th century"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3305213","painting"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectArtwork","http://www.wikidata.org/entity/Q3361341","Palazzo Vitelli a Sant'Egidio"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q4692","Renaissance"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q41493","ancient history"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q37853","Baroque"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectArtwork","http://www.wikidata.org/entity/Q1048826","Castello Orsini-Odescalchi"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q128027","Giorgio Vasari"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q128027","Giorgio Vasari"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q128027","Giorgio Vasari"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q128027","Giorgio Vasari"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectGenre","https://w3id.org/artchives/MD1596712155101","iconography of Charles V"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3621743","ospedale di Santo Spirito in Sassia"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q7016","17th century"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q345605","Federico Zuccari"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q345605","Federico Zuccari"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q345605","Federico Zuccari"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q345605","Federico Zuccari"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q644689","Fratelli Alinari"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q7018","15th century"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectArtwork","http://www.wikidata.org/entity/Q3621743","ospedale di Santo Spirito in Sassia"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1581507","Villa Medicea del Poggio Imperiale"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3889823","Palazzo Cattaneo-Adorno"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q134307","portrait"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q7018","15th century"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectArtwork","http://www.wikidata.org/entity/Q3889631","Palazzo Belimbau"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q131808","Mannerism"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q733389","Villa Medici"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1596712238178","iconography of Aristotle"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasScopeAndContentSubject","http://www.wikidata.org/entity/Q134194","fresco painting"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q7017","16th century"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1596712155101","iconography of Charles V"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q742333","history painting"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectObject","http://www.wikidata.org/entity/Q3305213","painting"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q724192","David Bailly"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q724192","David Bailly"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3361341","Palazzo Vitelli a Sant'Egidio"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q37853","Baroque"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasScopeAndContentSubject","http://www.wikidata.org/entity/Q644689","Fratelli Alinari"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q172984","gelatin silver process"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectArtwork","http://www.wikidata.org/entity/Q733389","Villa Medici"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q131808","Mannerism"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q7017","16th century"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectObject","http://www.wikidata.org/entity/Q134194","fresco painting"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q41493","ancient history"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q25048406","Palazzo della Corgna, Castiglione del Lago"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q134307","portrait"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectArtwork","http://www.wikidata.org/entity/Q1581507","Villa Medicea del Poggio Imperiale"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectArtwork","http://www.wikidata.org/entity/Q3889823","Palazzo Cattaneo-Adorno"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","Fototeca Julian Kliemann","https://w3id.org/artchives/hasSubjectGenre","https://w3id.org/artchives/MD1596712238178","iconography of Aristotle"
"http://www.wikidata.org/entity/Q85761254","Julian Kliemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1404472","Italian Renaissance"
"http://www.wikidata.org/entity/Q85761254","Julian Kliemann","http://www.wikidata.org/prop/direct/P921","Friezes"
