historian,subject,hasMainObjectType,hasOtherObjectType,hasScopeAndContentSubject,hasSubjectObject
steinberg,Leo Steinberg research papers,"notebook, correspondence, photographic print",photograph,"Titian, Rudolf Wittkower, New York University Institute of Fine Arts, Auguste Rodin, Francesco Borromini","painting, drawing, sculpture"
middeldorfCollectionNOR,Nachlass Ulrich Middeldorf,"typescript, notes, card, letter",photograph,,
krautheimer,Nachlass Richard Krautheimer,"typescript, photograph, offprint, manuscript",,"Italy, Rome, Rome, Jewish ceremonial art, Byzantine art",
zeri,Fototeca Zeri,photograph,archive document,"archive, collotype technique, still life, applied arts, carbon, albumen print, library, gelatin silver process","altarpiece, polyptych, oil painting, cassone, fresco painting, sculpture"
fahy,Fototeca Fahy,archive document,photograph,"Sienese School, Tuscany, Venetian school, albumen print, Florence, Florence, archive, Lucca, history of art, Handwritten Notes, Arezzo","fresco, polyptych, panel painting, cassone"
warburg,Fondo Aby Warburg,archive document,"photograph, note",,"painting, furniture, textile"
fabriczy,Nachlass Cornelius von Fabriczy,"photograph, Notes",,,medals
waterhouse,Ellis K. Waterhouse notebooks and research files,"photograph, photograph, catalogue, notebook","archive document, manuscript, drawing, drawing, microfiche",,"painting, painting, photograph, photograph, architecture, architecture, drawing, drawing"
lotz,Nachlass Wolfgang Lotz,,,,"painting, sculpture, architecture"
kliemann,Fototeca Julian Kliemann,photograph,postcard,"fresco painting, Fratelli Alinari, gelatin silver process","fresco painting, painting"
middledorfCollectionTYPO,Ulrich Middledorf papers,"journal, correspondence, book, offprint, clipping","postcard, photograph",,"costume, bronze, textile, drawing, medal, metal artwork, furniture, sculpture"
ludwig,Gustav Ludwig-Vermächtnis,"press draft, personal document, transcription, letter, bibliographic card, note","sketch, photograph, collage, newspaper clipping","Egypt, maiolica, Flanders","textile, illumination, Restello, architecture, painting, jewellery, sculpture"
pope-hennessy,John Pope-Hennessy papers,"negative, archive document, photograph",,"British Museum, British Museum, Italian Renaissance, Italian Renaissance, New York University, New York University, John Pope-Hennessy, John Pope-Hennessy","painting, sculpture"
steinmann,Nachlass Ernst Steinmann,"manuscript, archive document, typescript",,"Michelangelo, Michelangelo, Napoleon, Napoleon, William Shakespeare",
tumidei,Fototeca Stefano Tumidei,photograph,archive document,"Bologna, Bologna, gelatin silver process, archive","fresco painting, oil painting, drawing, panel painting, sculpture"
cohn,Nachlass Werner Cohn,document,photograph,,"fresco painting, sculpture, Architecture, bronze medal"
badt,Nachlass Kurt Badt,"TypeScript, correspondence, printed matter, newspaper clipping, notes",,,"Miniature painting, painting"
vertova,Archivio Luisa Vertova,archive document,photograph,"archives, art history, old master, history of art","manuscript, painting, drawing, sculpture, jewellery"
heinemann,"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","newspaper clipping, Notes, printed matter, manuscript","correspondence, typescript",,"painting,, portrait, altarpiece"
