subject,hasScopeAndContentSubject
Fototeca Fahy,Lucca
Leo Steinberg research papers,Titian
Nachlass Richard Krautheimer,Jewish ceremonial art
Fototeca Fahy,archive
Nachlass Richard Krautheimer,Rome
Archivio Luisa Vertova,history of art
Nachlass Ernst Steinmann,Michelangelo
Gustav Ludwig-Vermächtnis,Flanders
Fototeca Fahy,Arezzo
John Pope-Hennessy papers,New York University
Fototeca Fahy,Tuscany
Archivio Luisa Vertova,old master
Fototeca Fahy,albumen print
Archivio Luisa Vertova,archives
Fototeca Julian Kliemann,fresco painting
John Pope-Hennessy papers,Italian Renaissance
Nachlass Richard Krautheimer,Italy
Fototeca Stefano Tumidei,archive
Fototeca Zeri,archive
Fototeca Zeri,carbon
Leo Steinberg research papers,Auguste Rodin
Fototeca Fahy,Venetian school
Fototeca Fahy,Florence
Fototeca Zeri,still life
Fototeca Julian Kliemann,gelatin silver process
Fototeca Zeri,gelatin silver process
Fototeca Zeri,collotype technique
Fototeca Stefano Tumidei,gelatin silver process
Nachlass Ernst Steinmann,Napoleon
Fototeca Zeri,albumen print
Fototeca Fahy,Handwritten Notes
Fototeca Julian Kliemann,Fratelli Alinari
Leo Steinberg research papers,New York University Institute of Fine Arts
John Pope-Hennessy papers,British Museum
Nachlass Ernst Steinmann,William Shakespeare
Fototeca Stefano Tumidei,Bologna
Gustav Ludwig-Vermächtnis,Egypt
Fototeca Zeri,library
Fototeca Fahy,Sienese School
Fototeca Zeri,applied arts
Leo Steinberg research papers,Francesco Borromini
John Pope-Hennessy papers,John Pope-Hennessy
Gustav Ludwig-Vermächtnis,maiolica
Nachlass Richard Krautheimer,Byzantine art
Leo Steinberg research papers,Rudolf Wittkower
Fototeca Fahy,history of art
Archivio Luisa Vertova,art history
