historian,period_label,year
Aby Warburg,Renaissance,1892
Aby Warburg,Renaissance,1903
Aby Warburg,Renaissance,1904
Aby Warburg,Renaissance,1905
Aby Warburg,Renaissance,1906
Aby Warburg,Renaissance,1907
Aby Warburg,Renaissance,1908
Aby Warburg,Renaissance,1909
Aby Warburg,Renaissance,1910
Aby Warburg,Renaissance,1911
Aby Warburg,Renaissance,1912
Aby Warburg,Renaissance,1913
Aby Warburg,Renaissance,1914
Aby Warburg,Renaissance,1915
Aby Warburg,Renaissance,1916
Aby Warburg,Renaissance,1917
Aby Warburg,Renaissance,1918
Aby Warburg,Renaissance,1919
Aby Warburg,Renaissance,1920
Aby Warburg,Renaissance,1921
Aby Warburg,Renaissance,1922
Aby Warburg,Renaissance,1923
Aby Warburg,Renaissance,1924
Aby Warburg,Renaissance,1925
Aby Warburg,Renaissance,1926
Aby Warburg,Renaissance,1927
Aby Warburg,Renaissance,1932
Cornelius von Fabriczy,Renaissance,1888
Cornelius von Fabriczy,Renaissance,1889
Cornelius von Fabriczy,Renaissance,1890
Cornelius von Fabriczy,Renaissance,1891
Cornelius von Fabriczy,Renaissance,1892
Cornelius von Fabriczy,Renaissance,1893
Cornelius von Fabriczy,Renaissance,1894
Cornelius von Fabriczy,Renaissance,1895
Cornelius von Fabriczy,Renaissance,1896
Cornelius von Fabriczy,Renaissance,1897
Cornelius von Fabriczy,Renaissance,1898
Cornelius von Fabriczy,Renaissance,1899
Cornelius von Fabriczy,Renaissance,1900
Cornelius von Fabriczy,Renaissance,1901
Cornelius von Fabriczy,Renaissance,1902
Cornelius von Fabriczy,Renaissance,1903
Cornelius von Fabriczy,Renaissance,1904
Cornelius von Fabriczy,Renaissance,1905
Cornelius von Fabriczy,Renaissance,1906
Cornelius von Fabriczy,Renaissance,1907
Cornelius von Fabriczy,Renaissance,1908
Cornelius von Fabriczy,Renaissance,1909
Cornelius von Fabriczy,Renaissance,1910
Ellis Waterhouse,Renaissance,1952
Ellis Waterhouse,Renaissance,1953
Ellis Waterhouse,Renaissance,1978
Ernst Steinmann,Renaissance,1897
Ernst Steinmann,Renaissance,1898
Ernst Steinmann,Renaissance,1901
Ernst Steinmann,Renaissance,1902
Ernst Steinmann,Renaissance,1905
Ernst Steinmann,Renaissance,1907
Ernst Steinmann,Renaissance,1912
Ernst Steinmann,Renaissance,1913
Ernst Steinmann,Renaissance,1914
Ernst Steinmann,Renaissance,1915
Ernst Steinmann,Renaissance,1916
Ernst Steinmann,Renaissance,1917
Ernst Steinmann,Renaissance,1918
Ernst Steinmann,Renaissance,1919
Ernst Steinmann,Renaissance,1920
Ernst Steinmann,Renaissance,1921
Ernst Steinmann,Renaissance,1922
Ernst Steinmann,Renaissance,1923
Ernst Steinmann,Renaissance,1924
Ernst Steinmann,Renaissance,1925
Ernst Steinmann,Renaissance,1926
Ernst Steinmann,Renaissance,1927
Ernst Steinmann,Renaissance,1928
Ernst Steinmann,Renaissance,1929
Ernst Steinmann,Renaissance,1930
Ernst Steinmann,Renaissance,1931
Ernst Steinmann,Renaissance,1932
Ernst Steinmann,Renaissance,1933
Ernst Steinmann,Renaissance,1934
Ernst Steinmann,Renaissance,1935
Ernst Steinmann,Renaissance,1936
Ernst Steinmann,Renaissance,1937
Ernst Steinmann,Renaissance,1938
Ernst Steinmann,Renaissance,1939
Ernst Steinmann,Renaissance,1940
Ernst Steinmann,Renaissance,1941
Ernst Steinmann,Renaissance,1942
Ernst Steinmann,Renaissance,1943
Ernst Steinmann,Renaissance,1944
Ernst Steinmann,Renaissance,1945
Ernst Steinmann,Renaissance,1946
Ernst Steinmann,Renaissance,1947
Ernst Steinmann,Renaissance,1948
Ernst Steinmann,Renaissance,1949
Ernst Steinmann,Renaissance,1950
Ernst Steinmann,Renaissance,1951
Ernst Steinmann,Renaissance,1952
Ernst Steinmann,Renaissance,1953
Ernst Steinmann,Renaissance,1954
Ernst Steinmann,Renaissance,1955
Ernst Steinmann,Renaissance,1956
Ernst Steinmann,Renaissance,1957
Ernst Steinmann,Renaissance,1958
Ernst Steinmann,Renaissance,1959
Ernst Steinmann,Renaissance,1960
Ernst Steinmann,Renaissance,1961
Ernst Steinmann,Renaissance,1962
Ernst Steinmann,Renaissance,1963
Ernst Steinmann,Renaissance,1964
Ernst Steinmann,Renaissance,1965
Ernst Steinmann,Renaissance,1966
Ernst Steinmann,Renaissance,1967
Ernst Steinmann,Renaissance,1968
Ernst Steinmann,Renaissance,1969
Ernst Steinmann,Renaissance,1970
Ernst Steinmann,Renaissance,1971
Ernst Steinmann,Renaissance,1972
Ernst Steinmann,Renaissance,1973
Ernst Steinmann,Renaissance,1974
Ernst Steinmann,Renaissance,1975
Ernst Steinmann,Renaissance,1976
Ernst Steinmann,Renaissance,1977
Ernst Steinmann,Renaissance,1978
Ernst Steinmann,Renaissance,1979
Ernst Steinmann,Renaissance,1980
Ernst Steinmann,Renaissance,1981
Ernst Steinmann,Renaissance,1982
Ernst Steinmann,Renaissance,1983
Ernst Steinmann,Renaissance,1984
Ernst Steinmann,Renaissance,1985
Ernst Steinmann,Renaissance,1986
Ernst Steinmann,Renaissance,1987
