historian,interest,publicationTitle,year
Kurt Badt,Paolo Veronese,Paolo Veronese,1981
Kurt Badt,Andrea Solari,"Andrea Solario, sein Leben und seine Werke; ein Beitrag zur Kunstgeschichte der Lombardei",1914
Kurt Badt,Raphael,Raphael's Incendio del Borgo,1959
Kurt Badt,Leon Battista Alberti,Drei plastische Arbeiten von Leone Battista Alberti,1958
Werner Cohn,Hans Holbein,"Der Wandel der Architekturgestaltung in den Werken Hans Holbeins d. j., ein Beitrag zur Holbein-Chronologie",1929
Werner Cohn,Hans Holbein,"Hans Holbein, 1497-1543",1957
Werner Cohn,Lucas Cranach the Elder,Lucas Cranach: 1472-1553,1959
Werner Cohn,Albrecht Durer,"Albrecht Durer, 1471-1528",1958
Werner Cohn,Renaissance,Maestri sconosciuti del Quattrocento Fiorentino,1959
Werner Cohn,Fra Angelico,Rückblick auf das Fra-Angelico-Jahr,1956
Werner Cohn,Fra Angelico,Il Beato Angelico e Battista di Biagio Sanguigni,1956
Luisa Vertova,Paolo Veronese,Veronese,1952
Luisa Vertova,Renaissance,I disegni dei pittori fiorentini,1961
Luisa Vertova,Giovanni Bellini,Giovanni Bellini,1949
Luisa Vertova,Bernardino Licinio,Bernardino Licinio,1975
Luisa Vertova,Giulio Licinio,Giulio Licinio,1976
Luisa Vertova,Titian,Titian,1951
Luisa Vertova,Fra Angelico,Beato Angelico,1951
Luisa Vertova,Lorenzo Lotto,Lotto,1955
Luisa Vertova,Domenico Ghirlandaio,"Maestri toscani del Quattro e Cinquecento: Finiguerra, Pollaiuolo, Verrocchio, Ghirlandaio, Lorenzo di Credi, Francesco di Simone Ferrucci, Francesco di Giorgio, Leonardo, etc.",1981
Aby Warburg,Renaissance,Die Erneuerung der heidnischen Antike. Kulturwissenschaftliche Beiträge zur Geschichte der europäischen Renaissance,1932
Aby Warburg,Sandro Botticelli,La Naissance de Vénus & Le Printemps de Sandro Botticelli: étude des représentations de l'Antiquité dans la première Renaissance italienne,1892
Aby Warburg,Palazzo Schifanoia,Italienische Kunst und internationale Astrologie im Palazzo Schifanoja zu Ferrara,1922
Aby Warburg,Italian Renaissance,Einführung in die Kultur der italienischen Frührenaissance,1909
Everett Fahy,El Greco,The Wrightsman collection,1973
Everett Fahy,Leonardo da Vinci,The legacy of Leonardo: Italian Renaissance paintings from Leningrad,1979
Everett Fahy,Cosimo Rosselli,Cosimo Rosselli: painter of the Sistine Chapel,2001
Everett Fahy,Leonardo da Vinci,Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst,2011
Everett Fahy,Raphael,"Firenze e gli antichi Paesi Bassi: 1430-1530: dialoghi tra artisti: da Jan Van Eyck a Ghirlandaio, de Memling a Raffaello",2008
Everett Fahy,Domenico Ghirlandaio,Some Followers of Domenico Ghirlandaio,1976
Everett Fahy,Renaissance,Art and love in Renaissance Italy,2008
Julian Kliemann,Renaissance,Fresques italiennes du XVIe siècle: de Michel-Ange aux Carrache: 1510-1600,2004
Julian Kliemann,perspective,Frises peintes: les décors des villas et palais au Cinquecento: en hommage à Luigi De Cesaris et Julian Kliemann,2016
Julian Kliemann,Michelangelo,Michelangelo und die Fassade von San Lorenzo in Florenz: zur Geschichte der Skulpturenfassade der Renaissance,2010
Julian Kliemann,Michelangelo,Italian frescoes: the high Renaissance to the Baroque,2004
Julian Kliemann,Renaissance,Programme et invention dans l'art de la Renaissance,2008
Julian Kliemann,Renaissance mural painting and decoration,Wandmalerei in Italien: die Zeit der Hochrenaissance und des Manierismus: 1510 - 1600,2004
