"historian","interest","publicationTitle","year"
"Aby Warburg","Botticelli","La Naissance de Vénus & Le Printemps de Sandro Botticelli étude des représentations de l'Antiquité dans la première Renaissance italienne","1892"
"Julian Kliemann","Conte","Frises peintes : les décors des villas et palais au Cinquecento : en hommage à Luigi De Cesaris et Julian Kliemann","2016"
"Julian Kliemann","Renaissance","Fresques italiennes du XVIe siècle : de Michel-Ange aux Carrache : 1510-1600","2004"
"John Pope-Hennessy","Paolo","The complete work of Paolo Uccello","1950"
"Ernst Steinmann","Michelangelo","Michelangelo im Spiegel seiner Zeit","1930"
"Fritz Heinemann","Titian","Unbekannte oder wenig bekannte Werke Tizians","1968"
"Leo Steinberg","perspective","Leonardo's incessant Last Supper","2001"
"John Pope-Hennessy","Paolo","Paradiso : the illuminations to Dante's Divine comedy by Giovanni di Paolo","1993"
"Everett Fahy","Renaissance painting","The legacy of Leonardo : Italian Renaissance paintings from Leningrad","1979"
"Richard Krautheimer","Conte","Rome, profile of a city, 312-1308","1979"
"John Pope-Hennessy","High Renaissance","The portrait in the Renaissance","1963"
"Stefano Tumidei","Michelangelo","Il Michelangelo incognito : Alessandro Menganti e le arti a Bologna nell'età della Controriforma","2002"
"Everett Fahy","Renaissance","Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst ; [anlässlich der Ausstellung ""Gesichter der Renaissance. Meisterwerke Italienischer Portrait-Kunst"", Bode-Museum, Berlin (25.08.2011 - 20.11.2011) ; Metropolitan Museum of Art, New York (19.12.2011 - 18.03.2012)]","2011"
"Leo Steinberg","Michelangelo","Michelangelo's last paintings : the Conversion of St. Paul and the Crucifixion of St. Peter in the Cappella Paolina, Vatican Palace","1975"
"Leo Steinberg","Rossi","Encounters with Rauschenberg : (a lavishly illustrated lecture)","2000"
"Wolfgang Lotz","Renaissance","The northern Renaissance","1955"
"Julian Kliemann","High Renaissance","Italian frescoes, high Renaissance and mannerism, 1510-1600","2004"
"Wolfgang Lotz","Palladio","Architecture in Italy, 1500-1600","1995"
"Kornél Fabriczy","Brunelleschi","Filippo Brunelleschi : la vita e le opere","1979"
"Ernst Steinmann","Michelangelo","Die Portraitdarstellungen des Michelangelo","1913"
"Fritz Heinemann","Titian","Titian: Die zwei ersten Jahrzehnte seiner künstlerischen Entwicklung","1928"
"Stefano Tumidei","Palmezzano","Marco Palmezzano : il Rinascimento nelle Romagne","2005"
"Richard Krautheimer","Ghiberti","Lorenzo Ghiberti","1956"
"Wolfgang Lotz","Renaissance","The northern renaissance","1955"
"Leo Steinberg","Conte","Michelangelo's sculpture : selected essays","2018"
"Wolfgang Lotz","Zuccari","Der Palazzo Zuccari in Rom : ein Künstlerhaus des 16. Jahrhunderts als Sitz eines Max-Planck-Instituts","1967"
"Everett Fahy","Sistine Chapel","Cosimo Rosselli : painter of the Sistine Chapel","2001"
"John Pope-Hennessy","Robbia","Luca della Robbia","1979"
"Kurt Badt","Solari","Andrea Solario, sein Leben und seine Werke; ein Beitrag zur Kunstgeschichte der Lombardei","1914"
"John Pope-Hennessy","Renaissance","Papers, ca. 1900-1994.",""
"John Pope-Hennessy","Angelico","Fra Angelico","1952"
"John Pope-Hennessy","Angelico","Fra Angelico","1974"
"Fritz Heinemann","Titian","La bottega di Tiziano","1980"
"Julian Kliemann","Renaissance","Wandmalerei in Italien : die Zeit der Hochrenaissance und des Manierismus 1510-1600","2004"
"Ulrich Middeldorf","Lippi","Maestri toscani del Quattrocento : Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo","1981"
"Werner Cohn","Cranach","Lucas Cranach : 1472-1553","1956"
"Fritz Heinemann","Bellini","Giovanni Bellini e i Belliniani: Volume II by Fritz Heinemann","1962"
"Gustav Ludwig","Carpaccio","Vittore Carpaccio, la vie et l'oeuvre du peintre","1905"
"Wolfgang Lotz","Vignola","Vignola-Zeichnungen","1938"
"John Pope-Hennessy","Lippi","Heim Gallery records, 1965-1991.",""
"Kornél Fabriczy","Renaissance","Medaillen der italienischen renaissance","1900"
"Fritz Heinemann","Bellini","Giovanni Bellini e i Belliniani","1962"
"Wolfgang Lotz","Renaissance architecture","Studies in Italian Renaissance architecture","1975"
"Kornél Fabriczy","Sangallo","Die Handzeichnungen Giuliano's da Sangallo : Kritisches Verzeichnis","1902"
"Werner Cohn","Hans Holbein","Two glass panels after designs by Hans Holbein","1939"
"Julian Kliemann","High Renaissance","Italian frescoes : the high Renaissance to the Baroque","2004"
"Gustav Ludwig","Carpaccio","Vittore Carpaccio : la vita e le opere","1881"
"Leo Steinberg","The Crucifixion of St. Peter","Michelangelo's last paintings : the Conversion of St. Paul and the Crucifixion of St. Peter in the Cappella Paolina, Vatican Palace","1975"
"Everett Fahy","Botticelli","Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst ; [anlässlich der Ausstellung ""Gesichter der Renaissance. Meisterwerke Italienischer Portrait-Kunst"", Bode-Museum, Berlin (25.08.2011 - 20.11.2011) ; Metropolitan Museum of Art, New York (19.12.2011 - 18.03.2012)]","2011"
"John Pope-Hennessy","Donatello","Sculpture: Renaissance to rococo","1969"
"Leo Steinberg","Conte","Other criteria : confrontations with twentieth-century art","1972"
"Everett Fahy","Bellini","Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst ; [anlässlich der Ausstellung ""Gesichter der Renaissance. Meisterwerke Italienischer Portrait-Kunst"", Bode-Museum, Berlin (25.08.2011 - 20.11.2011) ; Metropolitan Museum of Art, New York (19.12.2011 - 18.03.2012)]","2011"
"Wolfgang Lotz","Renaissance","Das Raumbild in der italienischen Architekturzeichnung der Renaissance","1956"
"Julian Kliemann","Renaissance","Programme et invention dans l'art de la Renaissance","2008"
"Gustav Ludwig","Alberti","The Albertina and the National Gallery: with remarks on the popular study of drawings by the Old Masters","1868"
"Ulrich Middeldorf","Renaissance","Early Renaissance reliefs","2001"
"John Pope-Hennessy","Renaissance sculpture","Italian renaissance sculpture","1958"
"John Pope-Hennessy","Donatello","Donatello : sculptor","1993"
"Kurt Badt","Paolo","Paolo Veronese","1981"
"Leo Steinberg","Michelangelo","Michelangelo's painting : selected essays","2019"
"Ellis Waterhouse","El Greco","El Greco","1978"
"Ernst Steinmann","Michelangelo","Die Aufzeichnungen des Michelangelo Buonarroti im Britischen Museum in London und im Vermächtnis Ernst Steinmann in Rom","1938"
"Federico Zeri","Venetian school","Italian paintings: Venetian school; a catalogue of the collection of the Metropolitan Museum of Art","1973"
"Leo Steinberg","Renaissance","Renaissance and baroque art : selected essays","2020"
"Richard Krautheimer","Ghiberti","Lorenzo Ghiberti: Volume II","1970"
"Julian Kliemann","Raphael","Italian frescoes : the high Renaissance to the Baroque","2004"
"John Pope-Hennessy","Lippi","Papers, ca. 1900-1994.",""
"Richard Krautheimer","Renaissance","The Rome of Alexander VII, 1655-1667","1975"
"Fritz Heinemann","Bellini","Giovanni Bellini e i Belliniani","1959"
"Werner Cohn","Angelico","Nuovi documenti per il B. Angelico","1956"
"Leo Steinberg","Renaissance","Michelangelo's sculpture : selected essays","2018"
"Julian Kliemann","Renaissance","Gesta dipinte : la grande decorazione nelle dimore italiane dal Quattrocento al Seicento","1993"
"Richard Krautheimer","Renaissance","Lorenzo Ghiberti","1956"
"Federico Zeri","Botticelli","Botticelli, Allegory of spring","2000"
"Everett Fahy","Conte","Art and love in Renaissance Italy","2008"
