historian,period_label,interest,year,publication_title
Kurt Badt,Baroque,Johannes Vermeer,1961,"Modell und Maler von Jan Vermeer, Probleme der Interpretation; eine Streitschrift gegen Hans Sedlmayr"
Ellis Waterhouse,Baroque,Baroque painting,1962,Italian baroque painting : with 200 illustrations
Ellis Waterhouse,Baroque,Baroque art,,"Notebooks and research files, 1801-1987 (bulk 1924-1979)."
Ellis Waterhouse,Baroque,Anthony van Dyck,1978,Anthony van Dyck : Suffer little children to come unto me = Antoine van Dyck : Laissez les enfants venir à moi
Ellis Waterhouse,Baroque,Baroque painting,1976,Roman baroque painting : a list of the principal painters and their works in and around Rome : with an introductory essay
Fritz Heinemann,Baroque,Baroque,1965,Zwischen Renaissance und Barock
Ellis Waterhouse,Baroque,Anthony van Dyck,1953,"Painting in Britain, 1530 to 1790"
Leo Steinberg,Baroque,San Carlo alle Quattro Fontane,1977,Borromini's San Carlo alle Quattro Fontane : a study in multiple form and architectural symbolism
John Pope-Hennessy,Baroque,Baroque sculpture,1963,Italian High Renaissance and Baroque sculpture
Ellis Waterhouse,Baroque,Baroque painting,1937,"Baroque painting in Rome, the 17th century"
Luisa Vertova,Baroque,Caravaggio,1994,"Caravaggio, his incongruity and his fame"
Everett Fahy,Baroque,Diego Velazquez,,Juan de Pareja by Diego Velazquez
Richard Krautheimer,Baroque,Baroque,,"Harald Keller papers, 1930-1989."
Everett Fahy,Baroque,Giovanni Battista Tiepolo,,The Wrightsman collection
Luisa Vertova,Baroque,Caravaggio,1990,Caravaggism in Europe
Leo Steinberg,Baroque,San Carlo alle Quattro Fontane,1960,San Carlo alle quattro Fontane : a study in multiple form and architectural symbolism
Julian Kliemann,Baroque,Caravaggio,2016,Frises peintes : les décors des villas et palais au Cinquecento : en hommage à Luigi De Cesaris et Julian Kliemann
Leo Steinberg,Baroque,Baroque art,2020,Renaissance and baroque art : selected essays
Leo Steinberg,Baroque,Peter Paul Rubens,,"Julius S. Held papers, ca. 1918-1999."
Julian Kliemann,Baroque,Baroque,2004,Italian frescoes : the high Renaissance to the Baroque
Stefano Tumidei,Baroque,Gian Lorenzo Bernini,1998,Bernini : la scultura in San Pietro
Ellis Waterhouse,Baroque,Baroque painting,1937,Italian baroque painting
Stefano Tumidei,Baroque,Palazzo San Giacomo,2004,La nobile villeggiatura : i Rasponi a Palazzo San Giacomo di Russi
Stefano Tumidei,Baroque,Gian Lorenzo Bernini,1998,Bernin : la sculpture à Saint-Pierre
John Pope-Hennessy,Baroque,Baroque,1969,Sculpture: Renaissance to rococo
Fritz Heinemann,Baroque,Francesco Guardi,1965,Mostra dei Guardi
Richard Krautheimer,Baroque,Baroque,1975,"The Rome of Alexander VII, 1655-1667"
Ulrich Middeldorf,Baroque,Baroque,,"Harald Keller papers, 1930-1989."
Werner Cohn,Baroque,Peter Paul Rubens,1951,Rubens
Richard Krautheimer,Baroque,Baroque architecture,,"Lectures on Baroque architecture, ca. 1950."
Luisa Vertova,Baroque,Caravaggio,1989,Caravaggism in Europe
Everett Fahy,Baroque,Juan de Pareja,1971,Juan de Pareja by Diego Velazquez : an appreciation of the portrait
