historian,period_label,interest,year,publication_title
Federico Zeri,Renaissance,Sacred and Profane Love,2000,"Titian, sacred and profane love"
Everett Fahy,Renaissance,Leonardo da Vinci,2011,"Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst ; [anlässlich der Ausstellung ""Gesichter der Renaissance. Meisterwerke Italienischer Portrait-Kunst"", Bode-Museum, Berlin (25.08.2011 - 20.11.2011) ; Metropolitan Museum of Art, New York (19.12.2011 - 18.03.2012)]"
Fritz Heinemann,Renaissance,Giovanni Bellini,1962,Giovanni Bellini e i belliniani
Julian Kliemann,Renaissance,High Renaissance,2004,Italian frescoes : the high Renaissance to the Baroque
Ulrich Middeldorf,Renaissance,Filippo Lippi,,"Heim Gallery records, 1965-1991."
Richard Krautheimer,Renaissance,Renaissance,1956,Lorenzo Ghiberti
Wolfgang Lotz,Renaissance,Leon Battista Alberti,1972,"Architecture in Italy, 1400 to 1600"
Werner Cohn,Renaissance,Renaissance,1960,Maestri sconosciuti del Quattrocento Fiorentino
Leo Steinberg,Renaissance,Michelangelo,2020,Renaissance and baroque art : selected essays
Fritz Heinemann,Renaissance,Titian,1928,Titian: Die zwei ersten Jahrzehnte seiner künstlerischen Entwicklung
Werner Cohn,Renaissance,Fra Angelico,1955,Il Beato Angelico e Battista di Biagio Sanguigni
Everett Fahy,Renaissance,Titian,2008,Art and love in Renaissance Italy
Werner Cohn,Renaissance,Albrecht Durer,1958,"Albrecht Durer, 1471-1528"
Everett Fahy,Renaissance,Italian Renaissance,1979,The legacy of Leonardo : Italian Renaissance paintings from Leningrad
Aby Warburg,Renaissance,Sandro Botticelli,1892,La Naissance de Vénus & Le Printemps de Sandro Botticelli étude des représentations de l'Antiquité dans la première Renaissance italienne
Kornél Fabriczy,Renaissance,Filippo Brunelleschi,1892,Filippo Brunelleschi : Sein Leben und seine Werke
Ulrich Middeldorf,Renaissance,Filippo Lippi,1981,"Maestri toscani del Quattrocento : Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo"
John Pope-Hennessy,Renaissance,Renaissance,1963,Italian High Renaissance and Baroque sculpture
Julian Kliemann,Renaissance,Renaissance,2004,Italian frescoes : the high Renaissance to the Baroque
John Pope-Hennessy,Renaissance,Michelangelo,1969,Sculpture: Renaissance to rococo
Richard Krautheimer,Renaissance,Renaissance,1969,"Studies in early Christian, Medieval, and Renaissance art"
Federico Zeri,Renaissance,Sandro Botticelli,2000,"Botticelli, Allegory of spring"
Ernst Steinmann,Renaissance,Pinturicchio,1898,Pinturicchio
Stefano Tumidei,Renaissance,Renaissance,2005,Marco Palmezzano : il Rinascimento nelle Romagne
Ernst Steinmann,Renaissance,Sistine Chapel,1901,Die Sixtinische Kapelle
Julian Kliemann,Renaissance,Renaissance,2004,Wandmalerei in Italien : die Zeit der Hochrenaissance und des Manierismus 1510-1600
Julian Kliemann,Renaissance,Michelangelo,2010,Michelangelo und die Fassade von San Lorenzo in Florenz : zur Geschichte der Skulpturenfassade der Renaissance
Leo Steinberg,Renaissance,Renaissance,2020,Renaissance and baroque art : selected essays
Everett Fahy,Renaissance,Sandro Botticelli,2011,"Gesichter der Renaissance Meisterwerke italienischer Portrait-Kunst ; [anlässlich der Ausstellung ""Gesichter der Renaissance. Meisterwerke Italienischer Portrait-Kunst"", Bode-Museum, Berlin (25.08.2011 - 20.11.2011) ; Metropolitan Museum of Art, New York (19.12.2011 - 18.03.2012)]"
Ulrich Middeldorf,Renaissance,Sandro Botticelli,1981,"Maestri toscani del Quattrocento : Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo"
Ernst Steinmann,Renaissance,Sandro Botticelli,1901,Botticelli
Aby Warburg,Renaissance,Italian Renaissance,1998,Photographs at the frontier : Aby Warburg in America 1895-1896
Richard Krautheimer,Renaissance,High Renaissance,1975,"The Rome of Alexander VII, 1655-1667"
Julian Kliemann,Renaissance,Renaissance,1993,Gesta dipinte : la grande decorazione nelle dimore italiane dal Quattrocento al Seicento
Julian Kliemann,Renaissance,Titian,2004,Italian frescoes : the high Renaissance to the Baroque
Federico Zeri,Renaissance,Venetian school,1973,Italian paintings: Venetian school; a catalogue of the collection of the Metropolitan Museum of Art
Leo Steinberg,Renaissance,Renaissance,,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Ulrich Middeldorf,Renaissance,Domenico Ghirlandaio,1981,"Maestri toscani del Quattrocento : Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo"
John Pope-Hennessy,Renaissance,Renaissance,,"Papers, ca. 1900-1994."
Julian Kliemann,Renaissance,Renaissance,2010,Michelangelo und die Fassade von San Lorenzo in Florenz : zur Geschichte der Skulpturenfassade der Renaissance
Julian Kliemann,Renaissance,Renaissance,2008,Programme et invention dans l'art de la Renaissance
Werner Cohn,Renaissance,Albrecht Durer,1958,Albrecht Dürer : 1471 - 1528
Everett Fahy,Renaissance,Renaissance,2008,Art and love in Renaissance Italy
John Pope-Hennessy,Renaissance,Titian,1963,The portrait in the Renaissance
Fritz Heinemann,Renaissance,Giovanni Bellini,1962,Giovanni Bellini e i Belliniani
Ellis Waterhouse,Renaissance,Titian,1952,Titian's Diana & Actaeon
Ulrich Middeldorf,Renaissance,Raphael,1983,Raphael and the ruins of Rome: the poetic dimension: in memory of Ulrich Middeldorf 1901 - 1983
Richard Krautheimer,Renaissance,Renaissance,,"Harald Keller papers, 1930-1989."
Gustav Ludwig,Renaissance,Leon Battista Alberti,1868,The Albertina and the National Gallery: with remarks on the popular study of drawings by the Old Masters
Fritz Heinemann,Renaissance,Titian,1968,Unbekannte oder wenig bekannte Werke Tizians
John Pope-Hennessy,Renaissance,Giovanni Bellini,1963,The portrait in the Renaissance
Ulrich Middeldorf,Renaissance,Renaissance,1983,Renaissance medals and plaquettes : catalogue
Federico Zeri,Renaissance,Venetian school,1980,Italian paintings : Sienese and Central Italian schools : a catalogue of the collection of the Metropolitan Museum of Art
Wolfgang Lotz,Renaissance,Italian Renaissance,1972,"Architecture in Italy, 1400 to 1600"
Leo Steinberg,Renaissance,Michelangelo,1970,The metaphors of love and birth in Michelangelo's Pietàs
Stefano Tumidei,Renaissance,Quattrocento,1987,Un'aggiunta al 'Maestro dei Baldraccani' e qualche appunto sulla pittura romagnola del tardo Quattrocento
Wolfgang Lotz,Renaissance,Quattrocento,1972,"Architecture in Italy, 1400 to 1600"
John Pope-Hennessy,Renaissance,High Renaissance,1963,Italian High Renaissance and Baroque sculpture
Everett Fahy,Renaissance,Domenico Ghirlandaio,2008,"Firenze e gli antichi Paesi Bassi : 1430-1530 : dialoghi tra artisti : da Jan Van Eyck a Ghirlandaio, de Memling a Raffaello"
Leo Steinberg,Renaissance,Renaissance,1983,The sexuality of Christ in Renaissance art and in modern oblivion
Wolfgang Lotz,Renaissance,Renaissance architecture,1972,"Architecture in Italy, 1400 to 1600"
John Pope-Hennessy,Renaissance,Fra Angelico,1952,Fra Angelico
Leo Steinberg,Renaissance,Titian,,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Federico Zeri,Renaissance,Renaissance,1985,Renaissance et pseudo renaissance
Fritz Heinemann,Renaissance,Titian,1928,"Tizian, die zwei ersten Jahrzehnte seiner künstlerischen Entwichlung"
Leo Steinberg,Renaissance,Cappella Paolina,1975,"Michelangelo's last paintings : the Conversion of St. Paul and the Crucifixion of St. Peter in the Cappella Paolina, Vatican Palace"
Wolfgang Lotz,Renaissance,Michelangelo,1995,"Architecture in Italy, 1500-1600"
Leo Steinberg,Renaissance,Renaissance,2019,Michelangelo's painting : selected essays
John Pope-Hennessy,Renaissance,Italian Renaissance,1958,Italian renaissance sculpture
Fritz Heinemann,Renaissance,Giovanni Bellini,1959,Giovanni Bellini e i Belliniani
Luisa Vertova,Renaissance,Lorenzo Lotto,1955,Lotto
Wolfgang Lotz,Renaissance,Palazzo Zuccari,1967,Der Palazzo Zuccari in Rom : ein Künstlerhaus des 16. Jahrhunderts als Sitz eines Max-Planck-Instituts
Ulrich Middeldorf,Renaissance,Filippo Lippi,,"E.P. (Edgar Preston) Richardson papers, 1893-1994."
Wolfgang Lotz,Renaissance,Italian Renaissance,1975,Studies in Italian Renaissance architecture
Wolfgang Lotz,Renaissance,Renaissance,1955,The northern renaissance
Ellis Waterhouse,Renaissance,El Greco,1978,El Greco
Ernst Steinmann,Renaissance,Sandro Botticelli,1903,Botticelli
