subject,subjectLabel,typeOfInterest,interest,interestLabel
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q3305213,painting
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q41406,Edvard Munch
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q60,New York City
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q34184051,photograph collection
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q5669,Sandro Botticelli
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q631931,decorative arts
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q47551,Titian
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q2839016,allegory
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q220,Rome
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q537874,John Pope-Hennessy
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,Love in art,
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,French mural painting and decoration,
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q63425235,mural painting
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q99516640,wall painting
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q981971,Mario Praz
http://www.wikidata.org/entity/Q1089074,Federico Zeri,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1127320,Central Italy
