"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q610687","Venetian school"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q2554861","Benedetto Ghirlandaio"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q526637","Sassetti Chapel"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q4692","Renaissance"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1332178","Sienese School"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q2943","Sistine Chapel"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q5669","Sandro Botticelli"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","https://w3id.org/artchives/hasScopeAndContentSubject","http://www.wikidata.org/entity/Q1273","Tuscany"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q2044","Florence"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q2044","Florence"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q2593098","Tornabuoni Chapel"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q2311437","Biagio d'Antonio"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","https://w3id.org/artchives/hasScopeAndContentSubject","http://www.wikidata.org/entity/Q13378","Arezzo"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q7017","16th century"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1089074","Federico Zeri"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1089074","Federico Zeri"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q9134","mythology"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q2858468","Apollonio di Giovanni"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","https://w3id.org/artchives/hasScopeAndContentSubject","http://www.wikidata.org/entity/Q555132","Handwritten Notes"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","https://w3id.org/artchives/hasScopeAndContentSubject","http://www.wikidata.org/entity/Q580807","albumen print"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q50641","history of art"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q41493","ancient history"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","https://w3id.org/artchives/hasScopeAndContentSubject","http://www.wikidata.org/entity/Q610687","Venetian school"
"https://w3id.org/artchives/collectionfototeca-fahy","Fototeca Fahy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q945313","cassone"
