"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"https://w3id.org/artchives/collectionnachlass-richard-krautheimer","Nachlass Richard Krautheimer","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q3057287","Ernst Steinmann"
"https://w3id.org/artchives/collectionnachlass-richard-krautheimer","Nachlass Richard Krautheimer","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q100511","Willibald Sauerländer"
"https://w3id.org/artchives/collectionnachlass-richard-krautheimer","Nachlass Richard Krautheimer","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q47591","Byzantine architecture"
"https://w3id.org/artchives/collectionnachlass-richard-krautheimer","Nachlass Richard Krautheimer","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q105944","Richard Hamann"
"https://w3id.org/artchives/collectionnachlass-richard-krautheimer","Nachlass Richard Krautheimer","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q4020665","Wolfgang Frankl"
"https://w3id.org/artchives/collectionnachlass-richard-krautheimer","Nachlass Richard Krautheimer","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1510138","Gerard E. Caspary"
"https://w3id.org/artchives/collectionnachlass-richard-krautheimer","Nachlass Richard Krautheimer","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q211884","Byzantine art"
"https://w3id.org/artchives/collectionnachlass-richard-krautheimer","Nachlass Richard Krautheimer","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q236122","Renaissance architecture"
"https://w3id.org/artchives/collectionnachlass-richard-krautheimer","Nachlass Richard Krautheimer","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q100511","Willibald Sauerländer"
"https://w3id.org/artchives/collectionnachlass-richard-krautheimer","Nachlass Richard Krautheimer","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3057287","Ernst Steinmann"
