"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q692","William Shakespeare"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q19754022","Ludwig Schudt"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q692","William Shakespeare"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q90407","Richard Krautheimer"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q90407","Richard Krautheimer"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q108748","Paul Fridolin Kehr"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q517","Napoleon"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q517","Napoleon"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1559568534351","Ludwig Mond"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3034711","Domenico Anderson"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q1641821","Otto Lehmann-Brockhaus"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1650466","Theodor Lewald"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q64637","Anton Heinrich Springer"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q64637","Anton Heinrich Springer"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q4692","Renaissance"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q134307","portrait"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q64637","Anton Heinrich Springer"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q64637","Anton Heinrich Springer"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q4692","Renaissance"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q103498","Henriette Hertz"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q103498","Henriette Hertz"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q5669","Sandro Botticelli"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q19754022","Ludwig Schudt"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasScopeAndContentSubject","http://www.wikidata.org/entity/Q5592","Michelangelo"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasScopeAndContentSubject","http://www.wikidata.org/entity/Q5592","Michelangelo"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1818498","Leo Bruhns"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q5669","Sandro Botticelli"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q90407","Richard Krautheimer"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q90407","Richard Krautheimer"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q1818498","Leo Bruhns"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q937875","Luca Beltrami"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1559568527615","Frida Mond"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q937875","Luca Beltrami"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeople","https://w3id.org/artchives/MD1559568527615","Frida Mond"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeople","https://w3id.org/artchives/MD1559568534351","Ludwig Mond"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1559568562249","Rudolf Wittkower"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1559568493236","Olga von Gerstfeld"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q3034711","Domenico Anderson"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasScopeAndContentSubject","http://www.wikidata.org/entity/Q692","William Shakespeare"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeople","https://w3id.org/artchives/MD1559568493236","Olga von Gerstfeld"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","Nachlass Ernst Steinmann","https://w3id.org/artchives/hasSubjectPeople","https://w3id.org/artchives/MD1559568562249","Rudolf Wittkower"
