"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasScopeAndContentSubject","http://www.wikidata.org/entity/Q170571","still life"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q19997512","Everett Fahy"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q37562","Donatello"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q359047","Bernard Berenson"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q359047","Bernard Berenson"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q1361667","Roberto Longhi"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q1361667","Roberto Longhi"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q2886111","Bartolomeo di Tommaso"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q42207","Caravaggio"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q945313","cassone"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q59529805","Guglielmo Matthiae"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q19997511","Evelyn Sandberg Vavalà"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectObject","http://www.wikidata.org/entity/Q134194","fresco painting"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q7814","Giotto di Bondone"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q2528876","Vittorio Cini"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q7016","17th century"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectPeople","https://w3id.org/artchives/MD1556356158493","galleria Sangiorgi"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q19569585","Master of the Hartford Still-Life"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectObject","http://www.wikidata.org/entity/Q860861","sculpture"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q170571","still life"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q9134","mythology"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1400853","portrait painting"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasScopeAndContentSubject","http://www.wikidata.org/entity/Q166118","archive"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q860861","sculpture"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3147735","Christian iconography"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q623","carbon"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q41493","ancient history"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectObject","http://www.wikidata.org/entity/Q174705","oil painting"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q160538","Gian Lorenzo Bernini"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q174705","oil painting"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q2245140","Fra Carnevale"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q3713796","Donato de' Bardi"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q7016","17th century"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q12554","Middle Ages"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q7018","15th century"
"https://w3id.org/artchives/collectionfototeca-zeri","Fototeca Zeri","https://w3id.org/artchives/hasSubjectObject","http://www.wikidata.org/entity/Q945313","cassone"
