historian,interest,type
Everett Fahy,Renaissance illumination of books and manuscripts,genre
John Pope-Hennessy,High Renaissance,genre
John Pope-Hennessy,Renaissance portraits,genre
Richard Krautheimer,Renaissance Art,genre
Ernst Steinmann,Italian Renaissance,genre
Aby Warburg,Italian Renaissance,genre
Ernst Steinmann,Renaissance painting,genre
Everett Fahy,Renaissance,genre
Luisa Vertova,Renaissance drawing,genre
Ulrich Middeldorf,Renaissance bronzes,genre
John Pope-Hennessy,Renaissance portrait painting,genre
Leo Steinberg,Renaissance Art,genre
Leo Steinberg,Renaissance sculpture,genre
Aby Warburg,Renaissance Art,genre
Wolfgang Lotz,Renaissance Art,genre
Wolfgang Lotz,Palazzo Zuccari,artifact
Julian Kliemann,Renaissance Art,genre
Julian Kliemann,High Renaissance,genre
Kurt Badt,Properzia de' Rossi,person
Kurt Badt,perspective,genre
Julian Kliemann,perspective,genre
Richard Krautheimer,Renaissance architecture,genre
Ulrich Middeldorf,Renaissance Society,genre
Julian Kliemann,Renaissance sculpture,genre
Everett Fahy,Renaissance portraits,genre
Richard Krautheimer,Renaissance,genre
Richard Krautheimer,High Renaissance,genre
Leo Steinberg,Renaissance christian art and symbolism,genre
Stefano Tumidei,Renaissance Art,genre
Wolfgang Lotz,Renaissance painting,genre
Julian Kliemann,Renaissance decoration and ornament - themes and motives,genre
Everett Fahy,Renaissance portrait painting,genre
Federico Zeri,Renaissance,genre
Federico Zeri,Venetian school,genre
Leo Steinberg,Renaissance,genre
Julian Kliemann,Renaissance,genre
Luisa Vertova,Renaissance painting,genre
John Pope-Hennessy,Italian Renaissance,genre
John Pope-Hennessy,Renaissance painting,genre
Aby Warburg,Renaissance,genre
Ernst Steinmann,Renaissance,genre
Ernst Steinmann,Renaissance Art,genre
Julian Kliemann,Renaissance art - themes and motives,genre
Kornél Fabriczy,Renaissance Art,genre
Stefano Tumidei,Renaissance,genre
Ulrich Middeldorf,Renaissance drawing,genre
Ellis Waterhouse,Renaissance painting,genre
Julian Kliemann,Renaissance mural painting and decoration - themes and motives,genre
John Pope-Hennessy,Renaissance bronzes,genre
Julian Kliemann,Italian Renaissance,genre
Julian Kliemann,Renaissance painting,genre
Everett Fahy,Renaissance painting,genre
John Pope-Hennessy,Renaissance illumination of books and manuscripts,genre
Stefano Tumidei,Renaissance painting,genre
Ulrich Middeldorf,Renaissance textile fabrics,genre
Ulrich Middeldorf,Renaissance sculpture,genre
Ulrich Middeldorf,Renaissance medals,genre
Werner Cohn,Renaissance,genre
Fritz Heinemann,Renaissance,genre
Kornél Fabriczy,Renaissance,genre
Luisa Vertova,Renaissance Art,genre
John Pope-Hennessy,Renaissance Art,genre
Leo Steinberg,Renaissance painting,genre
Kornél Fabriczy,Renaissance medals,genre
Ulrich Middeldorf,Italian Renaissance,genre
