subject,hasSubjectObject
Ulrich Middledorf papers,textile
Fondo Aby Warburg,textile
Ulrich Middledorf papers,furniture
Fototeca Stefano Tumidei,oil painting
Fondo Aby Warburg,furniture
Fototeca Zeri,oil painting
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",portrait
Ellis K. Waterhouse notebooks and research files,painting
Ulrich Middledorf papers,costume
Ellis K. Waterhouse notebooks and research files,architecture
Fototeca Zeri,polyptych
Fototeca Fahy,fresco
Nachlass Werner Cohn,fresco painting
Archivio Luisa Vertova,manuscript
Archivio Luisa Vertova,jewellery
Nachlass Kurt Badt,Miniature painting
Fototeca Zeri,cassone
Ulrich Middledorf papers,metal artwork
Archivio Luisa Vertova,painting
Gustav Ludwig-Vermächtnis,Restello
Gustav Ludwig-Vermächtnis,architecture
Nachlass Werner Cohn,Architecture
Archivio Luisa Vertova,sculpture
Ulrich Middledorf papers,drawing
Gustav Ludwig-Vermächtnis,sculpture
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","painting,"
Gustav Ludwig-Vermächtnis,jewellery
Fototeca Julian Kliemann,painting
Nachlass Cornelius von Fabriczy,medals
Ellis K. Waterhouse notebooks and research files,photograph
Ulrich Middledorf papers,bronze
Leo Steinberg research papers,drawing
Fototeca Stefano Tumidei,sculpture
Fototeca Zeri,sculpture
Fototeca Zeri,altarpiece
Gustav Ludwig-Vermächtnis,painting
Gustav Ludwig-Vermächtnis,textile
Fototeca Fahy,panel painting
Fototeca Julian Kliemann,fresco painting
Fototeca Stefano Tumidei,fresco painting
Fototeca Zeri,fresco painting
John Pope-Hennessy papers,painting
Ellis K. Waterhouse notebooks and research files,drawing
Fondo Aby Warburg,painting
John Pope-Hennessy papers,sculpture
Nachlass Wolfgang Lotz,architecture
Ulrich Middledorf papers,medal
Nachlass Wolfgang Lotz,painting
Ulrich Middledorf papers,sculpture
Nachlass Wolfgang Lotz,sculpture
Gustav Ludwig-Vermächtnis,illumination
Archivio Luisa Vertova,drawing
Leo Steinberg research papers,painting
Leo Steinberg research papers,sculpture
Fototeca Stefano Tumidei,panel painting
Nachlass Kurt Badt,painting
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",altarpiece
Fototeca Fahy,cassone
Fototeca Fahy,polyptych
Fototeca Stefano Tumidei,drawing
Nachlass Werner Cohn,sculpture
Nachlass Werner Cohn,bronze medal
