"collection","period","period_label","year"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1960"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1961"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1962"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1963"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1964"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1965"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1966"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1967"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1968"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1969"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1970"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1971"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1972"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1973"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1974"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1975"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1976"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1977"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1978"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1979"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1980"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1981"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1982"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1983"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1984"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1985"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1986"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1987"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1988"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1989"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1990"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1991"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1992"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1993"
"Archivio Luisa Vertova","http://www.wikidata.org/entity/Q7018","15th century","1994"
