historian,period_label,interest,year,publication_title
Fritz Heinemann,Baroque,Baroque,1965,Zwischen Renaissance und Barock
John Pope-Hennessy,Renaissance,Luca della Robbia,1979,Luca della Robbia
Wolfgang Lotz,Mannerism,Giacomo Barozzi da Vignola,1938,Vignola-Zeichnungen
Kurt Badt,Post-Impressionism,Paul Cezanne,1971,Das Spatwerk Cezannes. (Vortr.)
Ulrich Middeldorf,Renaissance,Raphael,1945,Raphael's drawings
Ulrich Middeldorf,16th century,16th century,1975,Biblioteca di disegni: twenty-eight volumes of drawings by italian masters from the XVth to the XVIIIth century (3rd ed.)
Richard Krautheimer,Gothic art,Gothic sculpture,1988,"Harald Keller papers, 1930-1989."
John Pope-Hennessy,Renaissance,Fra Angelico,1974,Fra Angelico
Ulrich Middeldorf,19th century,19th century,1976,"Sculptures from the Samuel H. Kress Collection : European schools, XIV-XIX Century"
Richard Krautheimer,Impressionism,Impressionism,1983,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Baroque,Baroque,1974,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Gothic art,Gothic sculpture,1974,"Harald Keller papers, 1930-1989."
Richard Krautheimer,medieval art,medieval art,1969,"Studies in early Christian, Medieval, and Renaissance art"
Ulrich Middeldorf,Renaissance,Sandro Botticelli,1981,"Maestri toscani del Quattrocento: Cosimo Rosselli, Botticelli, Botticini, Filippino Lippi, David Ghirlandaio, Raffaellino del Garbo, Tommaso, Piero di Cosimo"
John Pope-Hennessy,Baroque,Baroque,1969,Sculpture: Renaissance to rococo
Richard Krautheimer,Baroque,Baroque architecture,1950,"Lectures on Baroque architecture, ca. 1950."
Richard Krautheimer,Gothic art,Gothic sculpture,1954,"Harald Keller papers, 1930-1989."
Leo Steinberg,Renaissance,Michelangelo,2018,Michelangelo's sculpture: selected essays
Federico Zeri,Impressionism,Henri Matisse,2000,"Matisse, la Danse"
Julian Kliemann,Renaissance,Michelangelo,2004,Italian frescoes: the high Renaissance to the Baroque
Aby Warburg,Renaissance,Sandro Botticelli,1892,La Naissance de Vénus & Le Printemps de Sandro Botticelli: étude des représentations de l'Antiquité dans la première Renaissance italienne
Fritz Heinemann,Renaissance,Titian,1928,Titian: Die zwei ersten Jahrzehnte seiner künstlerischen Entwicklung
