"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q79084","Hans Sedlmayr"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q5582","Vincent van Gogh"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q166713","Post-Impressionism"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q9440","Paolo Veronese"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q692100","Alois Riegl"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q38","Italy"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q220","Rome"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1629748","Kurt Badt"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1028181","painter"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q159297","John Constable"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q159297","John Constable"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q35548","Paul Cezanne"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q41554","Nicolas Poussin"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q41554","Nicolas Poussin"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Art appreciation",""
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q29231","Frans Snyders"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q133036","lithography"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q495110","Andrea Solari"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q495110","Andrea Solari"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q165980","University of Vienna"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q79084","Hans Sedlmayr"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q462437","composition"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Space and time in art",""
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Artists' preparatory studies",""
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Painters' psychology",""
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q152087","Humboldt University of Berlin"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q693591","Kunsthalle Bremen"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Artists' psychology",""
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q33477","Eugene Delacroix"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q84","London"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q84","London"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q35548","Paul Cezanne"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q50675","Historiography"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q4127","Lake Constance"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q9440","Paolo Veronese"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q2185042","Flemish painting"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q5597","Raphael"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","painting themes-motives",""
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q57656","Erwin Panofsky"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q142","France"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q55044","Ludwig Maximilian University of Munich"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","Clouds in art",""
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1414089","art theory"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q588695","The Art of Painting"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q551282","Wilhelm Lehmbruck"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q50637","art history"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q15989599","Wilhelm Voge"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q33477","Eugene Delacroix"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q2044","Florence"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q515","city"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3957","town"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q170027","University of London"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q93184","drawing"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1075","color"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q100715","Alfons Rosenberg"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q683095","Warburg Institute"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q41264","Johannes Vermeer"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q191163","landscape art"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3305213","painting"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q855395","interpretation "
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q46","Europe"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q61509","travel"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q35986","aesthetics"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q41264","Johannes Vermeer"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q188968","perspective"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q159297","John Constable"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q183","Germany"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q638","music"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q153987","University of Freiburg"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q156890","Ernst Barlach"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q5482205","Francis Place"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q57414113","Joachim von Sandrart"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1598618187338","Amateurism in art"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q7017","16th century"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q293106","Properzia de' Rossi"
"http://www.wikidata.org/entity/Q1629748","Kurt Badt","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1598618665850","Nicholas Bacon"
