"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1598621544200","Rossi-Bombe fund"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","https://w3id.org/artchives/hasSubjectPeople","https://w3id.org/artchives/MD1598621544200","Rossi-Bombe fund"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q3057287","Ernst Steinmann"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3057287","Ernst Steinmann"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q5592","Michelangelo"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q470846","Amico Aspertini"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","https://w3id.org/artchives/hasSubjectObject","https://w3id.org/artchives/MD1598621501831","medals"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1598621501831","medals"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","https://w3id.org/artchives/hasSubjectGenre","https://w3id.org/artchives/MD1598621422728","Medallistic"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3237954","Libro di Antonio Billi"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q470846","Amico Aspertini"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q4692","Renaissance"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q4692","Renaissance"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q309736","Michelozzo"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1598621422728","Medallistic"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1156431","Da Sangallo family"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q5743139","Karl Frey"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q5743139","Karl Frey"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q3237954","Libro di Antonio Billi"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q309736","Michelozzo"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q1156431","Da Sangallo family"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","Nachlass Cornelius von Fabriczy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q5592","Michelangelo"
"http://www.wikidata.org/entity/Q995470","Kornél Fabriczy","http://www.wikidata.org/prop/direct/P921","Medals, Renaissance"
"http://www.wikidata.org/entity/Q995470","Kornél Fabriczy","http://www.wikidata.org/prop/direct/P921","Architecture"
"http://www.wikidata.org/entity/Q995470","Kornél Fabriczy","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q50641","history of art"
"http://www.wikidata.org/entity/Q995470","Kornél Fabriczy","http://www.wikidata.org/prop/direct/P921","Italy--Florence"
"http://www.wikidata.org/entity/Q995470","Kornél Fabriczy","http://www.wikidata.org/prop/direct/P921","Art, Italian"
