"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"http://www.wikidata.org/entity/Q1271052","Fritz Heinemann","http://www.wikidata.org/prop/direct/P921","Italy--Venice"
"http://www.wikidata.org/entity/Q1271052","Fritz Heinemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1060159","Thomas Wayne"
"http://www.wikidata.org/entity/Q1271052","Fritz Heinemann","http://www.wikidata.org/prop/direct/P921","Existentialism"
"http://www.wikidata.org/entity/Q1271052","Fritz Heinemann","http://www.wikidata.org/prop/direct/P921","Painters"
"http://www.wikidata.org/entity/Q1271052","Fritz Heinemann","http://www.wikidata.org/prop/direct/P921","Painting"
"http://www.wikidata.org/entity/Q1271052","Fritz Heinemann","http://www.wikidata.org/prop/direct/P921","Painting, Renaissance"
"http://www.wikidata.org/entity/Q1271052","Fritz Heinemann","http://www.wikidata.org/prop/direct/P921","Philosophy"
"http://www.wikidata.org/entity/Q1271052","Fritz Heinemann","http://www.wikidata.org/prop/direct/P921","Titian,"
"http://www.wikidata.org/entity/Q1271052","Fritz Heinemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q39","Switzerland"
"http://www.wikidata.org/entity/Q1271052","Fritz Heinemann","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q70787","Duchess Sibylle of Saxe-Lauenburg"
"http://www.wikidata.org/entity/Q1271052","Fritz Heinemann","http://www.wikidata.org/prop/direct/P921","Italy"
"http://www.wikidata.org/entity/Q1271052","Fritz Heinemann","http://www.wikidata.org/prop/direct/P921","Philosophy, Modern"
"http://www.wikidata.org/entity/Q1271052","Fritz Heinemann","http://www.wikidata.org/prop/direct/P921","Bellini, Giovanni,"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q4692","Renaissance"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3107030","Giovanni Battista da Ponte"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q186202","Giovanni Battista Tiepolo"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q5581","Vittore Carpaccio"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectObject","https://w3id.org/artchives/MD1598457992900","painting,"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q60068454","Museums"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3609940","Alessandro Contini Bonacossi"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q186202","Giovanni Battista Tiepolo"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q7017","16th century"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q5581","Vittore Carpaccio"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","https://w3id.org/artchives/MD1598459680121","E. Weddingen"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q7018","15th century"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1747398","Marcello Fogolino"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q60068454","Museums"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q3609940","Alessandro Contini Bonacossi"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q9440","Paolo Veronese"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectPeople","https://w3id.org/artchives/MD1598459680121","E. Weddingen"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q338367","Accademia Carrara"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q347842","Giovanni di Niccol� Mansueti"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q9440","Paolo Veronese"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q506483","Sebastiano Ricci"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q338367","Accademia Carrara"
