"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"http://www.wikidata.org/entity/Q41616785","Gustav Ludwig","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q84","London"
"http://www.wikidata.org/entity/Q41616785","Gustav Ludwig","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1741","Vienna"
"http://www.wikidata.org/entity/Q41616785","Gustav Ludwig","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q641","Venice"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","Ulrich Middledorf papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q29382731","metal artwork"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","Ulrich Middledorf papers","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q1404472","Italian Renaissance"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","Ulrich Middledorf papers","https://w3id.org/artchives/hasSubjectObject","http://www.wikidata.org/entity/Q860861","sculpture"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","Ulrich Middledorf papers","https://w3id.org/artchives/hasSubjectObject","http://www.wikidata.org/entity/Q860861","sculpture"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","Ulrich Middledorf papers","https://w3id.org/artchives/hasSubjectObject","http://www.wikidata.org/entity/Q131647","medal"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","Ulrich Middledorf papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q28823","textile"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","Ulrich Middledorf papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q28823","textile"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","Ulrich Middledorf papers","https://w3id.org/artchives/hasSubjectObject","http://www.wikidata.org/entity/Q93184","drawing"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","Ulrich Middledorf papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q4692","Renaissance"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","Ulrich Middledorf papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q860861","sculpture"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","Ulrich Middledorf papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q860861","sculpture"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","Ulrich Middledorf papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q131647","medal"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","Ulrich Middledorf papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q1404472","Italian Renaissance"
