"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","https://w3id.org/artchives/hasSubjectPeople","https://w3id.org/artchives/MD1599150087448","Margaret Barr Scolari"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q4868805","Bates Lowry"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q155057","Jasper Johns"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q3147735","Christian iconography"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q1712683","Julius S. Held"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q57656","Erwin Panofsky"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q57656","Erwin Panofsky"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q2960258","Charles Sterling"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q30755","Auguste Rodin"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q88907","Ernst Kitzinger"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q123150","Francesco Borromini"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","https://w3id.org/artchives/hasSubjectGenre","http://www.wikidata.org/entity/Q3147735","Christian iconography"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q4692","Renaissance"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q21176228","Annette Michelson"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q30755","Auguste Rodin"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q5764634","Hilton Kramer"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","Leo Steinberg research papers","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q38166","modern art"
