historian,interest,type,subtype
Everett Fahy,Renaissance illumination of books and manuscripts,"genres, materials, techniques",technique
John Pope-Hennessy,High Renaissance,"genres, materials, techniques",genre
John Pope-Hennessy,Renaissance portraits,"genres, materials, techniques",technique
Richard Krautheimer,Renaissance Art,"genres, materials, techniques",genre
Ernst Steinmann,Italian Renaissance,"genres, materials, techniques",genre
Aby Warburg,Italian Renaissance,"genres, materials, techniques",genre
Julian Kliemann,High Renaissance,"genres, materials, techniques",genre
Julian Kliemann,perspective,"genres, materials, techniques",genre
Ernst Steinmann,Renaissance painting,"genres, materials, techniques",technique
Everett Fahy,Renaissance,"genres, materials, techniques",genre
Luisa Vertova,Renaissance drawing,"genres, materials, techniques",technique
Ulrich Middeldorf,Renaissance bronzes,"genres, materials, techniques",material
John Pope-Hennessy,Renaissance portrait painting,"genres, materials, techniques",technique
Leo Steinberg,Renaissance Art,"genres, materials, techniques",genre
Leo Steinberg,Renaissance sculpture,"genres, materials, techniques",technique
Aby Warburg,Renaissance Art,"genres, materials, techniques",genre
Wolfgang Lotz,Renaissance Art,"genres, materials, techniques",genre
Julian Kliemann,Renaissance Art,"genres, materials, techniques",genre
Kurt Badt,Properzia de' Rossi,person,sculptor
Kurt Badt,perspective,"genres, materials, techniques",genre
Richard Krautheimer,Renaissance architecture,"genres, materials, techniques",technique
Ulrich Middeldorf,Renaissance Society,"genres, materials, techniques",genre
Julian Kliemann,Renaissance sculpture,"genres, materials, techniques",technique
Everett Fahy,Renaissance portraits,"genres, materials, techniques",technique
Richard Krautheimer,Renaissance,"genres, materials, techniques",genre
Richard Krautheimer,High Renaissance,"genres, materials, techniques",genre
Leo Steinberg,Renaissance christian art and symbolism,"genres, materials, techniques",genre
Stefano Tumidei,Renaissance Art,"genres, materials, techniques",genre
Wolfgang Lotz,Renaissance painting,"genres, materials, techniques",technique
Julian Kliemann,Renaissance decoration and ornament - themes and motives,"genres, materials, techniques",technique
Everett Fahy,Renaissance portrait painting,"genres, materials, techniques",technique
Federico Zeri,Renaissance,"genres, materials, techniques",genre
Leo Steinberg,Renaissance,"genres, materials, techniques",genre
Julian Kliemann,Renaissance,"genres, materials, techniques",genre
Luisa Vertova,Renaissance painting,"genres, materials, techniques",technique
John Pope-Hennessy,Italian Renaissance,"genres, materials, techniques",genre
John Pope-Hennessy,Renaissance painting,"genres, materials, techniques",technique
Aby Warburg,Renaissance,"genres, materials, techniques",genre
Ernst Steinmann,Renaissance,"genres, materials, techniques",genre
Ernst Steinmann,Renaissance Art,"genres, materials, techniques",genre
Julian Kliemann,Renaissance art - themes and motives,"genres, materials, techniques",genre
Kornél Fabriczy,Renaissance Art,"genres, materials, techniques",genre
Stefano Tumidei,Renaissance,"genres, materials, techniques",genre
Ulrich Middeldorf,Renaissance drawing,"genres, materials, techniques",technique
Ellis Waterhouse,Renaissance painting,"genres, materials, techniques",technique
Julian Kliemann,Renaissance mural painting and decoration - themes and motives,"genres, materials, techniques",technique
John Pope-Hennessy,Renaissance bronzes,"genres, materials, techniques",material
Julian Kliemann,Italian Renaissance,"genres, materials, techniques",genre
Julian Kliemann,Renaissance painting,"genres, materials, techniques",technique
Everett Fahy,Renaissance painting,"genres, materials, techniques",technique
John Pope-Hennessy,Renaissance illumination of books and manuscripts,"genres, materials, techniques",technique
Stefano Tumidei,Renaissance painting,"genres, materials, techniques",technique
Ulrich Middeldorf,Renaissance textile fabrics,"genres, materials, techniques",material
Ulrich Middeldorf,Renaissance sculpture,"genres, materials, techniques",technique
Ulrich Middeldorf,Renaissance medals,"genres, materials, techniques",material
Werner Cohn,Renaissance,"genres, materials, techniques",genre
Fritz Heinemann,Renaissance,"genres, materials, techniques",genre
Kornél Fabriczy,Renaissance,"genres, materials, techniques",genre
Luisa Vertova,Renaissance Art,"genres, materials, techniques",genre
John Pope-Hennessy,Renaissance Art,"genres, materials, techniques",genre
Leo Steinberg,Renaissance painting,"genres, materials, techniques",technique
Kornél Fabriczy,Renaissance medals,"genres, materials, techniques",material
Ulrich Middeldorf,Italian Renaissance,"genres, materials, techniques",genre
Federico Zeri,Renaissance painting,"genres, materials, techniques",technique
Ulrich Middeldorf,Renaissance relief sculpture,"genres, materials, techniques",technique
Kurt Badt,Leon Battista Alberti,person,architect
Kurt Badt,Leon Battista Alberti,person,sculptor
Kurt Badt,Leon Battista Alberti,person,painter
Wolfgang Lotz,Renaissance architecture,"genres, materials, techniques",technique
Fritz Heinemann,Renaissance painting,"genres, materials, techniques",technique
Ulrich Middeldorf,Renaissance,"genres, materials, techniques",genre
Ulrich Middeldorf,Renaissance plaques and plaquettes,"genres, materials, techniques",material
Wolfgang Lotz,Renaissance,"genres, materials, techniques",genre
Kurt Badt,Raphael,person,painter
Kurt Badt,Raphael,person,sculptor
Kurt Badt,Raphael,person,architect
Everett Fahy,Raphael,person,painter
Everett Fahy,Raphael,person,sculptor
Everett Fahy,Raphael,person,architect
Federico Zeri,Renaissance Art,"genres, materials, techniques",genre
Kurt Badt,Paolo Veronese,person,painter
Everett Fahy,Renaissance panel painting,"genres, materials, techniques",technique
Julian Kliemann,Renaissance mural painting and decoration,"genres, materials, techniques",technique
Luisa Vertova,Renaissance,"genres, materials, techniques",genre
Everett Fahy,Renaissance Art,"genres, materials, techniques",genre
John Pope-Hennessy,Renaissance,"genres, materials, techniques",genre
Everett Fahy,Renaissance portrait sculpture,"genres, materials, techniques",technique
Kurt Badt,Andrea Solari,person,painter
John Pope-Hennessy,Renaissance sculpture,"genres, materials, techniques",technique
Werner Cohn,Lorenzo Ghiberti,person,sculptor
Werner Cohn,Lorenzo Ghiberti,person,painter
Werner Cohn,Lorenzo Ghiberti,person,architect
Everett Fahy,Leonardo da Vinci,person,sculptor
Everett Fahy,Leonardo da Vinci,person,painter
Everett Fahy,Leonardo da Vinci,person,architect
Everett Fahy,Leonardo da Vinci,person,caricaturist
Everett Fahy,El Greco,person,painter
Everett Fahy,El Greco,person,sculptor
Everett Fahy,El Greco,person,architect
Everett Fahy,El Greco,person,artist
Kornél Fabriczy,Giuliano da Sangallo,person,architect
Kornél Fabriczy,Giuliano da Sangallo,person,sculptor
Kornél Fabriczy,Da Sangallo family,person,
Werner Cohn,Bernardino Luini,person,painter
Werner Cohn,Lucas Cranach the Elder,person,printmaker
Werner Cohn,Lucas Cranach the Elder,person,painter
Werner Cohn,Filippo Lippi,person,painter
Kurt Badt,Felice Feliciano,person,drawer
Werner Cohn,Albrecht Durer,person,painter
Werner Cohn,Albrecht Durer,person,engraver
Werner Cohn,Albrecht Durer,person,illuminator
Werner Cohn,Albrecht Durer,person,drawer
Werner Cohn,Albrecht Durer,person,printmaker
Kornél Fabriczy,Amico Aspertini,person,painter
Kornél Fabriczy,Amico Aspertini,person,sculptor
Kornél Fabriczy,Amico Aspertini,person,illuminator
Everett Fahy,Domenico Ghirlandaio,person,painter
Everett Fahy,Rosselli family,person,
Kornél Fabriczy,Filippo Brunelleschi,person,sculptor
Kornél Fabriczy,Filippo Brunelleschi,person,architect
Kornél Fabriczy,Michelangelo,person,sculptor
Kornél Fabriczy,Michelangelo,person,draftsperson
Kornél Fabriczy,Michelangelo,person,painter
Kornél Fabriczy,Michelangelo,person,architect
Everett Fahy,Bernardo di Stefano Rosselli,person,painter
Werner Cohn,Hans Holbein,person,painter
Werner Cohn,Hans Holbein,person,engraver
Kornél Fabriczy,Michelozzo,person,sculptor
Kornél Fabriczy,Michelozzo,person,architect
Wolfgang Lotz,Galeazzo Alessi,person,architect
Wolfgang Lotz,Leon Battista Alberti,person,architect
